formula_id,ingredient_id,concentration,test_ph,viscosity,temperature,final_score,ingredient_name,category,cost_per_kg,ph,solubility,stability_score,approved
101,1,5.0,6.4,1200,25,87,Glycerin,Humectant,12.5,6.5,High,88,1
102,2,4.0,6.1,1150,25,90,Niacinamide,Active,45.0,6.0,Medium,91,1
103,3,2.0,3.9,980,25,62,Salicylic Acid,Active,52.0,3.8,Low,67,0
104,4,6.0,5.6,1400,25,84,Aloe Vera Extract,Botanical,20.0,5.5,High,83,1
105,5,3.0,3.4,1000,25,57,Vitamin C,Active,60.0,3.2,Low,58,0
106,6,2.5,6.9,1500,25,95,Hyaluronic Acid,Humectant,95.0,6.8,High,94,1
107,7,1.5,5.1,1100,25,74,Tea Tree Oil,Essential Oil,40.0,5.0,Medium,72,1
108,8,1.0,5.0,970,25,52,Retinol,Active,110.0,5.2,Low,55,0
109,9,4.5,6.2,1300,25,85,Panthenol,Humectant,30.0,6.3,High,86,1
110,10,7.0,6.8,1600,25,81,Shea Butter,Emollient,25.0,6.7,Medium,80,1
